"Month","Year","PRODUCTS","Quantity (000 Metric Tonnes)","updated_date"
"June","2021","Petroleum coke","1004.00","2023-05-29"
"May","2021","Petroleum coke","981.00","2023-05-29"
"April","2021","Petroleum coke","797.00","2023-05-29"
"March","2021","Petroleum coke","1283.00","2023-05-29"
"February","2021","Petroleum coke","794.00","2023-05-29"
"January","2021","Petroleum coke","1004.00","2023-05-29"
"December","2020","Petroleum coke","1244.00","2023-05-29"
"November","2020","Petroleum coke","1145.00","2023-05-29"
"October","2020","Petroleum coke","1287.00","2023-05-29"
"September","2020","Petroleum coke","1108.00","2023-05-29"
"August","2020","Petroleum coke","1408.00","2023-05-29"
"July","2020","Petroleum coke","1648.00","2023-05-29"
"June","2020","Petroleum coke","1409.00","2023-05-29"
"May","2020","Petroleum coke","2500.00","2023-05-29"
"April","2020","Petroleum coke","775.00","2023-05-29"
"January","2023","SKO","33.31","2023-05-29"
"December","2022","SKO","39.73","2023-05-29"
"November","2022","SKO","38.47","2023-05-29"
"October","2022","SKO","33.56","2023-05-29"
"September","2022","SKO","40.97","2023-05-29"
"August","2022","SKO","31.55","2023-05-29"
"July","2022","SKO","23.24","2023-05-29"
"June","2022","SKO","45.29","2023-05-29"
"May","2022","SKO","67.70","2023-05-29"
"April","2022","SKO","72.28","2023-05-29"
"March","2022","SKO","114.00","2023-05-29"
"February","2022","SKO","117.00","2023-05-29"
"January","2022","SKO","126.00","2023-05-29"
"December","2021","SKO","119.00","2023-05-29"
"November","2021","SKO","123.00","2023-05-29"
"October","2021","SKO","125.00","2023-05-29"
"September","2021","SKO","132.00","2023-05-29"
"August","2021","SKO","129.00","2023-05-29"
"July","2021","SKO","130.00","2023-05-29"
"June","2021","SKO","136.00","2023-05-29"
"May","2021","SKO","136.00","2023-05-29"
"April","2021","SKO","105.00","2023-05-29"
"March","2021","SKO","155.00","2023-05-29"
"February","2021","SKO","137.00","2023-05-29"
"January","2021","SKO","146.00","2023-05-29"
"December","2020","SKO","135.00","2023-05-29"
"November","2020","SKO","155.00","2023-05-29"
"October","2020","SKO","139.00","2023-05-29"
"September","2020","SKO","167.00","2023-05-29"
"August","2020","SKO","132.00","2023-05-29"
"July","2020","SKO","161.00","2023-05-29"
"June","2020","SKO","161.00","2023-05-29"
"May","2020","SKO","181.00","2023-05-29"
"April","2020","SKO","129.00","2023-05-29"
